region,name,address,postcode,intake_type
Kent & Medway,Chatham & Clarendon Grammar School,"Chatham Street, Ramsgate, Kent, CT11 7PS",CT11 7PS,Mixed
Kent & Medway,Cranbrook School,"Barham Road, Cranbrook, Kent, TN17 3JD",TN17 3JD,Mixed
Kent & Medway,Dane Court Grammar School,"Broadstairs Road, Broadstairs, Kent, CT10 2RT",CT10 2RT,Mixed
Kent & Medway,Dartford Grammar School,"West Hill, Dartford, Kent, DA1 2HW",DA1 2HW,Boys
Kent & Medway,Dartford Grammar School for Girls,"Shepherds Lane, Dartford, Kent, DA1 2NT",DA1 2NT,Girls
Kent & Medway,Dover Grammar School for Boys,"Astor Avenue, Dover, Kent, CT17 0DQ",CT17 0DQ,Boys
Kent & Medway,Dover Grammar School for Girls,"Frith Road, Dover, Kent, CT16 2PZ",CT16 2PZ,Girls
Kent & Medway,Folkestone School for Girls,"Coolinge Lane, Folkestone, Kent, CT20 3RB",CT20 3RB,Girls
Kent & Medway,Fort Pitt Grammar School,"Fort Pitt Hill, Chatham, Kent, ME4 6BB",ME4 6BB,Girls
Kent & Medway,Gravesend Grammar School,"Church Walk, Gravesend, Kent, DA12 2PR",DA12 2PR,Boys
Kent & Medway,Harvey Grammar School,"Cheriton Road, Folkestone, Kent, CT19 5JY",CT19 5JY,Boys
Kent & Medway,Highsted Grammar School,"Highsted Road, Sittingbourne, Kent, ME10 4PT",ME10 4PT,Girls
Kent & Medway,Highworth Grammar School,"Quantock Drive, Ashford, Kent, TN24 8AL",TN24 8AL,Girls
Kent & Medway,Holcombe Grammar School,"Letchworth Avenue, Chatham, Kent, ME4 6JB",ME4 6JB,Boys
Kent & Medway,Invicta Grammar School,"Huntsman Lane, Maidstone, Kent, ME14 5DS",ME14 5DS,Girls
Kent & Medway,Maidstone Grammar School,"Barton Road, Maidstone, Kent, ME15 7BT",ME15 7BT,Boys
Kent & Medway,Maidstone Grammar School for Girls,"Buckland Road, Maidstone, Kent, ME16 0SF",ME16 0SF,Girls
Kent & Medway,Mayfield Grammar School,"Pelham Road, Gravesend, Kent, DA11 0JE",DA11 0JE,Girls
Kent & Medway,Oakwood Park Grammar School,"Oakwood Park, Maidstone, Kent, ME16 8AH",ME16 8AH,Boys
Kent & Medway,Queen Elizabeth's Grammar School,"Abbey Place, Faversham, Kent, ME13 7BQ",ME13 7BQ,Mixed
Kent & Medway,Rainham Mark Grammar School,"Pump Lane, Rainham, Gillingham, Kent, ME8 7AJ",ME8 7AJ,Mixed
Kent & Medway,Rochester Grammar School,"Maidstone Road, Rochester, Kent, ME1 3BY",ME1 3BY,Girls
Kent & Medway,Simon Langton Girls' Grammar School,"Old Dover Road, Canterbury, Kent, CT1 3EW",CT1 3EW,Girls
Kent & Medway,Simon Langton Grammar School for Boys,"Nackington Road, Canterbury, Kent, CT4 7AS",CT4 7AS,Boys
Kent & Medway,Sir Joseph Williamson's Mathematical School,"Maidstone Road, Rochester, Kent, ME1 3EL",ME1 3EL,Boys
Kent & Medway,Sir Roger Manwood's School,"Manwood Road, Sandwich, Kent, CT13 9JX",CT13 9JX,Mixed
Kent & Medway,The Judd School,"Brook Street, Tonbridge, Kent, TN9 2PN",TN9 2PN,Boys
Kent & Medway,The Norton Knatchbull School,"Hythe Road, Ashford, Kent, TN24 0QJ",TN24 0QJ,Boys
Kent & Medway,The Skinners' School,"St John's Road, Tunbridge Wells, Kent, TN4 9PG",TN4 9PG,Boys
Kent & Medway,Tonbridge Grammar School,"Deakin Leas, Tonbridge, Kent, TN9 2LL",TN9 2LL,Girls
Kent & Medway,Tunbridge Wells Girls' Grammar School,"Southfield Road, Tunbridge Wells, Kent, TN4 9XB",TN4 9XB,Girls
Kent & Medway,Tunbridge Wells Grammar School for Boys,"St John's Road, Tunbridge Wells, Kent, TN4 9XB",TN4 9XB,Boys
Kent & Medway,Weald of Kent Grammar School,"Tudeley Lane, Tonbridge, Kent, TN9 2JP",TN9 2JP,Girls
Kent & Medway,Wilmington Grammar School for Boys,"Common Lane, Wilmington, Dartford, Kent, DA2 7BF",DA2 7BF,Boys
Kent & Medway,Wilmington Grammar School for Girls,"Parsons Lane, Wilmington, Dartford, Kent, DA2 7BB",DA2 7BB,Girls
Kingston,The Tiffin Girls' School,"Richmond Road, Kingston upon Thames, KT2 5PL",KT2 5PL,Girls
Kingston,Tiffin School,"Queen Elizabeth Road, Kingston upon Thames, KT1 2JG",KT1 2JG,Boys
Redbridge,Ilford County High School,"Fremantle Road, Barkingside, Ilford, IG6 2JB",IG6 2JB,Boys
Redbridge,Woodford County High School,"High Road, Woodford Green, IG8 9LA",IG8 9LA,Girls
Sutton,Nonsuch High School for Girls,"Ewell Road, Cheam, Sutton, SM3 8AB",SM3 8AB,Girls
Sutton,Sutton Grammar School,"Manor Lane, Sutton, SM1 4AS",SM1 4AS,Boys
Sutton,Wallington County Grammar School,"Croydon Road, Wallington, SM6 7PH",SM6 7PH,Boys
Sutton,Wallington High School for Girls,"Woodcote Road, Wallington, SM6 0LT",SM6 0LT,Girls
Sutton,Wilson's School,"Mollison Drive, Wallington, SM6 9JW",SM6 9JW,Boys
