name,address,postcode,phone,gender_profile,size,day_boarding_type,religious_affiliation
Donhead Preparatory School,"33 Edge Hill, Wimbledon, SW19 4NP",SW19 4NP,020 8946 7000,Boys only,278,Day,Roman Catholic
"St Catherine's School, Twickenham","Cross Deep, Twickenham, TW1 4QJ",TW1 4QJ,+44 (0)20 8891 2898,Girls only,432,Day,Roman Catholic
Shrewsbury House Prep School,"107 Ditton Road, Surbiton, Surrey, KT6 6RL",KT6 6RL,+44 (0)20 8399 3066,Boys only,343,Day,Church of England
Ursuline Preparatory School,"18 The Downs, Wimbledon, London, SW20 8HR",SW20 8HR,+44 (0)20 8947 0859,Girls (some boys),153,Day,Roman Catholic
Old Vicarage School,"48 Richmond Hill, Richmond, TW10 6QX",TW10 6QX,+44 (0)20 8940 0922,Girls only,220,Day,Non-denominational
Ibstock Place School,"Clarence Lane, Roehampton, SW15 5PY",SW15 5PY,+44 (0)20 8876 9991,Coeducational,1005,Day,Non-denominational
King's House School,"68 King's Road, Richmond, Surrey, TW10 6ES",TW10 6ES,+44 (0)20 8940 1878,Boys (some girls),419,Day,Church of England/Interdenominational
The Mall School,"185 Hampton Road, Twickenham, TW2 5NQ",TW2 5NQ,+44 (0)20 8977 2523,Boys (some girls),198,Day,Christian
Tower House School,"188 Sheen Lane, East Sheen, SW14 8LF",SW14 8LF,+44 (0)20 8876 3323,Boys only,174,Day,Non-denominational
Wimbledon High School GDST,"Mansel Road, Wimbledon, SW19 4AB",SW19 4AB,+44 (0)20 8971 0900,Girls only,1050,Day,Non-denominational
Twickenham Prep School,"Beveree, 43 High Street, Hampton, TW12 2SA",TW12 2SA,+44 (0)20 8979 6216,Coeducational,270,Day,Christian
Willington School,"Worcester Road, Wimbledon, London, SW19 7QQ",SW19 7QQ,+44 (0)20 8944 7020,Coeducational,198,Day,All Faiths
Weston Green School,"Weston Green Road, Thames Ditton, Surrey, KT7 0JN",KT7 0JN,020 8938 2778,Coeducational,194,Day,Christian
Hampton Pre-Prep & Prep School,"Gloucester Road, Hampton, TW12 2UQ",TW12 2UQ,+44 (0)20 8979 1844,Boys (some girls),229,Day,Church of England
Prospect House School,"75 Putney Hill, London, SW15 3NT",SW15 3NT,+44 (0)20 8780 0456,Coeducational,287,Day,Non-denominational
Lady Eleanor Holles School,"Hanworth Road, Hampton, TW12 3HF",TW12 3HF,+44 (0)20 8979 1601,Girls only,978,Day,All Faiths
Hampton School,"Hanworth Road, Hampton, TW12 3HD",TW12 3HD,+44 (0)20 8979 5526,Boys only,1338,Day,All Faiths
The Falcons School,"11 Woodborough Road, Putney, SW15 6PY",SW15 6PY,+44 (0)20 8992 5189,Coeducational,128,Day,Non-denominational
Putney High School GDST,"35 Putney Hill, London, SW15 6BH",SW15 6BH,+44 (0)20 8788 4886,Girls only,1076,Day,Non-denominational
Unicorn School,"238 Kew Road, Richmond, TW9 3JX",TW9 3JX,+44 (0)20 8948 3926,Coeducational,169,Day,Non-denominational
Broomfield House School,"10 Broomfield Road, Kew Gardens, Richmond, Surrey, TW9 3HS",TW9 3HS,+44 (0)20 8940 3884,Coeducational,176,Day,Church of England
Liberty Woodland School,"Morden Lodge, Morden Hall Road, Morden, London, SM4 5JD",SM4 5JD,+44(0)20 8648 9775,Coeducational,63,Day,Non-denominational
Kew College,"24-26 Cumberland Road, Richmond, TW9 3HQ",TW9 3HQ,020 8940 2039,Coeducational,274,Day,Non-denominational
The London Acorn School,"Morden Cottage, Morden Hall Park, Morden, London, SM4 5JD",SM4 5JD,0208 544 9769,Coeducational,54,Day,All Faiths
Hurlingham School,"122 Putney Bridge Road, Putney, SW15 2NQ",SW15 2NQ,020 8874 7186,Coeducational,355,Day,All Faiths
Hall School Wimbledon,"17 The Downs, Wimbledon, London, SW20 8HF",SW20 8HF,020 8879 9200,Coeducational,183,Day,All Faiths
Chelsea Hall School,"St Andrews Parish Hall, Waynflete Street, London, SW18 3QG",SW18 3QG,0208 9468330,Coeducational,43,Day,All Faiths
Kew Green Preparatory School,"Layton House, Ferry Lane, Kew Green, Richmond, Surrey, TW9 3AF",TW9 3AF,020 8948 5999,Coeducational,268,Day,Non-denominational
The Roche School,"11 Frogmore, Wandsworth, London, SW18 1HW",SW18 1HW,442088770823,Coeducational,267,Day,Non-denominational
Shrewsbury House Pre Preparatory School,"22 Milbourne Lane, Esher, Surrey, KT10 9EA",KT10 9EA,+44 (0)1372 462781,Coeducational,84,Day,Church of England
Ashton House School,"50/52 Eversley Crescent, Isleworth, TW7 4LW",TW7 4LW,+44 (0)20 8560 3902,Coeducational,100,Day,All Faiths
Suffah Primary School,"367 Wellington Road South, Hounslow, TW4 5HU",TW4 5HU,020 8572 9817,Coeducational,151,Day,Islamic
The St Michael Steiner School,"Park Road, Hanworth Park, London, TW13 6PN",TW13 6PN,+44 (0)20 8893 1299,Coeducational,129,Day,All Faiths
Burlington House School,"Bishop's Avenue, Fulham, SW6 6EG",SW6 6EG,+44 (0)20 7610 9018,Coeducational,176,Day,Non-denominational
Ewell Castle School,"Church Street, Ewell, Epsom, Surrey, KT17 2AW",KT17 2AW,+44 (0)20 8393 1413,Coeducational,694,Day,Church of England
Milbourne Lodge,"43 Arbrook Lane, Esher, Surrey, KT10 9EG",KT10 9EG,01372 462737,Coeducational,278,Day,Church of England
Heathfield House School,"Turnham Green Church Hall, Heathfield Gardens, Chiswick, London, W4 4JU",W4 4JU,020 8994 3385,Coeducational,162,Day,All Faiths
Wandsworth Preparatory School,"The Old Library, 2 Allfarthing Lane, London, SW18 2PQ",SW18 2PQ,+44 (0)20 8870 4133,Coeducational,83,Day,Non-denominational
Parsons Green Prep,"1 Fulham Park Road, London, SW6 4LJ",SW6 4LJ,+44 (0)20 7371 9009,Coeducational,115,Day,Non-denominational
Rowan Preparatory School,"6 Fitzalan Road, Claygate, Esher, Surrey, KT10 0LX",KT10 0LX,+44 (0)1372 462627,Girls only,300,Day,All Faiths
Kew House School,"6 Capital Interchange Way, Brentford, TW8 0EX",TW8 0EX,+44 (0)20 8742 2038,Coeducational,595,Day,Non-denominational
Homefield Preparatory School,"Western Road, Sutton, Surrey, SM1 2TE",SM1 2TE,+44 (0)20 8642 0965,Boys only,313,Day,Non-denominational
Thomas's Fulham,"49 Hugon Road, London, SW6 3ES",SW6 3ES,+44(0)207 751 8200,Coeducational,425,Day,Church of England
Date Valley School,"Mitcham Court, Cricket Green, Mitcham, Surrey, CR4 4LB",CR4 4LB,+44(0)20 8648 4647,Coeducational,135,Day,Islamic
St Paul's School,"Lonsdale Road, Barnes, London, SW13 9JT",SW13 9JT,+44 (0)20 8748 9162,Boys only,1517,"Day, Weekly/Flexible Boarding, Full Boarding",All Faiths
Finton House School,"171 Trinity Road, Wandsworth, SW17 7HL",SW17 7HL,+44 (0)20 8682 0921,Coeducational,345,Day,Non-denominational
Sutton High School GDST,"55 Cheam Road, Sutton, Surrey, SM1 2AX",SM1 2AX,+44 (0)20 8642 0594,Girls only,847,Day,Non-denominational
Kensington Prep School GDST,"596 Fulham Road, London, SW6 5PA",SW6 5PA,+44 (0)20 7731 9300,Girls only,293,Day,All Faiths
Fulham School,"200 Greyhound Road, London, W14 9SD",W14 9SD,+44(0)20 7386 2444,Coeducational,,,
Emanuel School,"Battersea Rise, London, SW11 1HS",SW11 1HS,+44 (0)20 8870 4171,Coeducational,1083,Day,Christian
Kensington Wade,"Fulham Palace Road, London, W69ER",W69ER,+44(0)20 3096 2888,Coeducational,107,Day,Non-denominational
Claremont Fan Court School,"Claremont Drive, Esher, Surrey, KT10 9LY",KT10 9LY,+44 (0)1372 473780,Coeducational,1098,Day,Non-denominational
ArtsEd Day School & Sixth Form,"Cone Ripman House, 14 Bath Road, Chiswick, W4 1LY",W4 1LY,+44 (0)20 8987 6600,Coeducational,296,Day,All Faiths
Northcote Lodge,"26 Bolingbroke Grove, Wandsworth, SW11 6EL",SW11 6EL,+44 (0)20 8682 8888,Boys only,202,Day,Christian
Latymer Upper School and Latymer Prep School,"237 King Street, Hammersmith, W6 9LR",W6 9LR,+44 (0)20 8629 2024,Coeducational,1439,Day,Non-denominational
Ravenscourt Park Preparatory School,"16 Ravenscourt Avenue, Hammersmith, W6 0SL",W6 0SL,+44 (0)20 8846 9153,Coeducational,416,Day,Non-denominational
Orchard House School,"16 Newton Grove, London, W4 1LB",W4 1LB,+44 (0)20 8742 8544,Coeducational,273,Day,Non-denominational
Centre Academy London,"92 St John's Hill, Battersea, London, SW11 1SH",SW11 1SH,020 77382344,,,,
Chiswick & Bedford Park Preparatory School,"Priory House, Priory Avenue, Chiswick, London, W4 1TX",W4 1TX,020 8994 1804,Coeducational,161,Day,All Faiths
Azbuka Russian-English Bilingual School,"Studland Hall, Studland Street, Hammersmith, London, W6 0JS",W6 0JS,+44(0)208 392 2286,Coeducational,49,Day,Non-denominational
Kingswood House,"56 West Hill, Epsom, Surrey, KT19 8LG",KT19 8LG,+44 (0)1372 723590,Coeducational,250,Day,All Faiths
Hornsby House School,"Hearnville Road, London, SW12 8RS",SW12 8RS,+44 (0)20 8673 7573,Coeducational,437,Day,Non-denominational
Broomwood Hall School,"68-74 Nightingale Lane, London, SW12 8NR",SW12 8NR,+44 (0)20 8682 8830,Coeducational,458,Day,All Faiths
Eveline Day School,"Swan House, 207 Balham High Road, London, SW17 7BQ",SW17 7BQ,+44 (0)20 8673 3188,Coeducational,114,Day,Non-denominational
Dolphin School (inc Noahs Ark Nursery Schools),"106 Northcote Road, London, SW11 6QW",SW11 6QW,020 7924 3472,Coeducational,156,Day,Christian
Little Downsend Epsom,"6 Norman Avenue, Epsom, Surrey, KT17 3AB",KT17 3AB,01372 385438,Coeducational,51,Day,All Faiths
The Danesfield Manor School,"11 Rydens Avenue, Walton-on-Thames, Surrey, KT12 3JB",KT12 3JB,+44 (0)1932 220930,Coeducational,144,Day,All Faiths
Thames Christian School,"12 Grant Road, Battersea, London, SW11 2FR",SW11 2FR,+44 (0)20 7228 3933,Coeducational,172,Day,Christian
Godolphin and Latymer School,"Iffley Road, Hammersmith, W6 0PG",W6 0PG,+44 (0)20 8741 1936,Girls only,812,Day,Non-denominational
Thomas's Clapham,"Broomwood Road, London, SW11 6JZ",SW11 6JZ,+44(0)207 326 9300,Coeducational,652,Day,Church of England
Bute House Preparatory School for Girls,"Luxemburg Gardens, Hammersmith, W6 7EA",W6 7EA,+44 (0)20 7603 7381,Girls only,319,Day,Non-denominational
St Paul's Girls' School,"Brook Green, Hammersmith, W6 7BS",W6 7BS,+44 (0)20 7603 2288,Girls only,799,Day,All Faiths
St James Senior Girls' School,"Earsby Street, London, W14 8SH",W14 8SH,+44 (0)20 7348 1777,Girls only,264,Day,Non-denominational
St James Preparatory School,"Earsby Street, Nr. Olympia, London, W14 8SH",W14 8SH,+44 (0)20 7348 1777,Coeducational,180,Day,Non-denominational
Thomas's Battersea,"28-40 Battersea High Street, London, SW11 3JB",SW11 3JB,+44 (0)207 978 0900,Coeducational,751,Day,Christian
London Park School Clapham,"7-11 Nightingale Lane, Clapham South, London, SW4 9AH",SW4 9AH,2081610301,,,,
St Christopher's School,"6 Downs Road, Epsom, Surrey, KT18 5HE",KT18 5HE,+44 (0)1372 721807,Coeducational,164,Day,Non-denominational
Streatham & Clapham High School GDST,"42 Abbotswood Road, Streatham, SW16 1AW",SW16 1AW,+44 (0)20 8677 8400,Girls only,877,Day,Non-denominational
Eaton House The Manor,"58 Clapham Common North Side, Clapham, SW4 9RU",SW4 9RU,020 7924 6000,Boys and Girls taught separately,682,Day,Christian
Epsom College,"College Road, Epsom, Surrey, KT17 4JQ",KT17 4JQ,+44 (0)1372 821000,Coeducational,1097,"Day, Weekly/Flexible Boarding, Full Boarding",Church of England
Collingham Independent College,"23 Collingham Gardens, London, SW5 0HL",SW5 0HL,+44 (0)20 7244 7414,Coeducational,160,Day,All Faiths
Wetherby Kensington,"4 Wetherby Gardens, Kensington, London, SW5 0JN",SW5 0JN,+44(0)203 910 9760,Boys only,152,Day,All Faiths
Ealing Independent College,"83 New Broadway, Ealing, W5 5AL",W5 5AL,020 8579 6668,Coeducational,111,Day,All Faiths
Clifton Lodge School,"8 Mattock Lane, London, W5 5BG",W5 5BG,020 8579 3662,Coeducational,119,Day,Christian
Seaton House School,"67 Banstead Road South, Sutton, Surrey, SM2 5LH",SM2 5LH,+44 (0)20 8642 2332,Girls (some boys),171,Day,Non-denominational
White House Preparatory School,"24 Thornton Road, London, SW12 0LF",SW12 0LF,+44 (0)20 8674 9514,Coeducational,156,Day,All Faiths
Cameron Vale School,"4 The Vale, Chelsea, SW3 6AH",SW3 6AH,+44 (0)20 7352 4040,Coeducational,50,Day,All Faiths
Falkner House,"19 Brechin Place, South Kensington, SW7 4QB",SW7 4QB,+44 (0)20 7373 4501,Coeducational,355,Day,Christian
Collingwood School,"3 Springfield Road, Wallington, SM6 0BD",SM6 0BD,+44 (0)20 8647 4607,Coeducational,120,Day,All Faiths
The Hampshire School Chelsea,"15 Manresa Road, London, SW3 6NB",SW3 6NB,+44 (0)20 7352 7077,Coeducational,88,Day,Non-denominational
Reed's School,"Sandy Lane, Cobham, Surrey, KT11 2ES",KT11 2ES,+44 (0)1932 869044,Boys only (co-ed sixth form),797,"Day, Weekly/Flexible Boarding, Full Boarding",Church of England
Mander Portman Woodward (MPW),"90-92 Queen's Gate, South Kensington, SW7 5AB",SW7 5AB,+44 (0)20 7835 1355,Coeducational,546,"Day, Full Boarding",Non-denominational
Norland Place School,"162-166 Holland Park Avenue, Notting Hill, W11 4UH",W11 4UH,+44 (0)20 7603 9103,Coeducational,218,Day,All Faiths
Durston House,"12 Castlebar Road, Ealing, W5 2DR",W5 2DR,+44 (0)20 8991 6530,Coeducational,389,Day,Christian
Danes Hill School,"Leatherhead Road, Oxshott, Leatherhead, Surrey, KT22 0JG",KT22 0JG,+44 (0)1372 842509,Coeducational,686,Day,Non-denominational
Glendower Prep School,"86/87 Queen's Gate, South Kensington, SW7 5JX",SW7 5JX,+44 (0)20 7370 1927,Girls only,288,Day,All Faiths
Queen's Gate School,"131-133 Queen's Gate, South Kensington , London, SW7 5LE",SW7 5LE,+44 (0)20 7589 3587,Girls only,491,Day,Non-denominational
Westminster Tutors,"86 Old Brompton Road, South Kensington, London, SW7 3LQ",SW7 3LQ,2075841288,Coeducational,35,Day,Non-denominational
Thomas's Kensington,"17-19 Cottesmore Gardens, London, W8 5PR",W8 5PR,+44(0)207 361 6500,Coeducational,376,Day,Christian
Avenue House School,"70 The Avenue, Ealing, W13 8LS",W13 8LS,+44 (0)20 8998 9981,Coeducational,78,Day,Non-denominational
ACS Cobham International School,"Heywood House, Portsmouth Road, Cobham, Surrey, KT11 1BL",KT11 1BL,+44 (0)1932 867251,Coeducational,1293,"Day, Weekly/Flexible Boarding, Full Boarding",Non-denominational
Eaton House Belgravia,"3-5 Eaton Gate, London, SW1W 9BA",SW1W 9BA,020 7730 9343,Boys (some girls),172,Day,Christian
Halliford School,"Russell Road, Shepperton, Surrey, TW17 9HX",TW17 9HX,+44 (0)1932 223593,Boys only (co-ed sixth form),461,Day,All Faiths
St Benedict's School,"54 Eaton Rise, Ealing, W5 2ES",W5 2ES,+44 (0)20 8862 2000,Coeducational,1091,Day,Roman Catholic
Banstead Preparatory School,"Sutton Lane, Banstead, Surrey, SM7 3RA",SM7 3RA,+44 (0)1737 363601,Coeducational,244,Day,Non-denominational
Newton Prep,"149 Battersea Park Road, London, SW8 4BX",SW8 4BX,+44 (0)20 7720 4091,Coeducational,658,Day,Non-denominational
Notting Hill and Ealing High School GDST,"2 Cleveland Road, Ealing, W13 8AX",W13 8AX,+44 (0)20 8799 8400,Girls only,908,Day,Non-denominational
Southbank International School (Kensington),"36-38 Kensington Park Road, Kensington, W11 3BU",W11 3BU,+44 (0)20 7229 8230,Coeducational,173,Day,All Faiths
Garden House School,"Turk's Row, Chelsea, London, SW3 4TW",SW3 4TW,+44 (0)20 7730 1652,Boys and Girls taught separately,484,Day,Interdenominational
St Augustine's Priory,"St Augustine's Priory, Hillcrest Road, Ealing, London, W5 2JL",W5 2JL,020 8997 2022,Girls (some boys),458,Day,Roman Catholic
Wetherby Pre-Preparatory School,"11 Pembridge Square, Notting Hill, W2 4ED",W2 4ED,020 7727 9581,Boys only,358,Day,All Faiths
Sussex House,"68 Cadogan Square, London, SW1X 0EA",SW1X 0EA,+44 (0)20 7584 1741,Boys only,187,Day,Church of England
Prince’s Gardens Preparatory School,"10-13 Prince's Gardens, London, SW7 1ND",SW7 1ND,+44 (0)20 7591 4620,Coeducational,152,Day,Non-denominational
Bassett House School,"60 Bassett Road, London, W10 6JP",W10 6JP,+44 (0)20 8969 0313,Coeducational,118,Day,Non-denominational
Pembridge Hall School,"18 Pembridge Square, Notting Hill, W2 4EH",W2 4EH,+44 (0)20 7229 0121,Girls only,444,Day,Anglican
Notting Hill Preparatory School,"95 Lancaster Road, Notting Hill, London, W11 1QQ",W11 1QQ,+44 (0)20 7221 0727,Coeducational,431,Day,Non-denominational
La Petite Ecole Bilingue - The Stewart Bilingual School,"90 Oxford Gardens, London, W10 5UW",W10 5UW,020 8960 2725,Coeducational,44,Day,Non-denominational
La Petite Ecole Francaise,"73 Saint Charles Square, London, W10 6EJ",W10 6EJ,0208 960 1278,Coeducational,142,Day,All Faiths
Chepstow House School,"108a Lancaster Road, London, W11 1QS",W11 1QS,0207 243 0243,Coeducational,400,Day,Non-denominational
Knightsbridge School,"67 Pont Street, Knightsbridge, SW1X 0BD",SW1X 0BD,+44 (0)20 7590 9000,Coeducational,376,Day,Non-denominational
"Francis Holland School, Sloane Square","39 Graham Terrace, London, SW1W 8JF",SW1W 8JF,+44 (0)20 7730 2971,Girls only,741,Day,Anglican
City of London Freemen's School,"Ashtead Park, Ashtead, Surrey, KT21 1ET",KT21 1ET,+44 (0)1372 822400,Coeducational,946,"Day, Weekly/Flexible Boarding, Full Boarding",Christian
More House School,"22-24 Pont Street, Knightsbridge, SW1X 0AA",SW1X 0AA,+44 (0)20 7235 2855,Girls only,138,Day,Roman Catholic
Kensington Park School,"40-44 Bark Place, Bayswater, London, W2 4AT",W2 4AT,020 7616 4400,Coeducational,247,"Day, Full Boarding",All Faiths
Instituto Espanol Canada Blanch,"317 Portobello Road, London, W10 5SZ",W10 5SZ,+44 (0)20 8969 2664,Coeducational,404,Day,All Faiths
St George's Junior School,"Thames Street, Weybridge, Surrey, KT13 8NL",KT13 8NL,+44 (0)1932 839400,Coeducational,627,Day,Roman Catholic
Lloyd Williamson Schools,"12 Telford Road, London, W10 5SH",W10 5SH,2089620345,,,,
Eaton Square Prep School,"55-57 Eccleston Square, London, SW1V 1PH",SW1V 1PH,+44 (0)20 72253131,Coeducational,256,Day,All Faiths
Notre Dame Senior School,"Burwood House, Convent Lane, Cobham, Surrey, KT11 1HA",KT11 1HA,+44 (0)1932 869990,Girls only,467,Day,Roman Catholic
Aberdour School,"Brighton Rd, Burgh Heath, Tadworth, Surrey, KT20 6AJ",KT20 6AJ,+44 (0)1737 354119,Coeducational,337,Day,Non-denominational
The New School London,"St Mary's Lodge, 149 Central Hill, London, SE19 1RT",SE19 1RT,+44(0)204 513 0505,Coeducational,86,Day,All Faiths
Rosemead Preparatory School & Nursery,"70 Thurlow Park Road, Dulwich, SE21 8HZ",SE21 8HZ,+44 (0)20 8670 5865,Coeducational,285,Day,Non-denominational
Notre Dame Prep School,"Burwood House, Convent Lane, Cobham, Surrey, KT11 1HA",KT11 1HA,+44 (0)1932 869990,Girls (some boys),239,Day,Roman Catholic
St James Senior Boys' School,"Church Road, Ashford, Surrey, TW15 3DZ",TW15 3DZ,01784 266930,Boys only,384,Day,All Faiths
Laleham Lea School,"29 Peaks Hill, Purley, Surrey, CR8 3JJ",CR8 3JJ,020 8660 3351,Coeducational,144,Day,Roman Catholic
The Laurels School,"Our Lady's Close, Upper Norwood, London, SE19 3FA",SE19 3FA,+44 (0)20 8674 7229,Girls only,111,Day,Roman Catholic
Downsend School,"1 Leatherhead Road, Leatherhead, Surrey, KT22 8TJ",KT22 8TJ,+44 (0)1372 372197,Coeducational,661,Day,Non-denominational
Bales College,"742 Harrow Road, London, W10 4AA",W10 4AA,020 8960 5899,Coeducational,124,Day,All Faiths
Old Palace of John Whitgift School,"Old Palace Road, Croydon, CR0 1AX",CR0 1AX,+44 (0)20 8688 2027,Girls only,608,Day,Church of England
Cumnor House School for Girls,"1 Woodcote Lane, Purley, Surrey, CR8 3HB",CR8 3HB,020 8668 0050,Girls only,123,Day,All Faiths
Oakfield Preparatory School,"125-128 Thurlow Park Road, London, SE21 8HP",SE21 8HP,+44 (0)20 8670 4206,Coeducational,311,Day,All Faiths
Westminster Under School,"Adrian House, 27 Vincent Square, Westminster, SW1P 2NN",SW1P 2NN,+44 (0)20 7821 5788,Boys only,275,Day,Church of England
Westminster Cathedral Choir School,"Ambrosden Avenue, London, SW1P 1QH",SW1P 1QH,+44 (0)20 7798 9081,Boys only,275,"Day, Weekly/Flexible Boarding",Roman Catholic
Fairley House School,"30 Causton Street, London, SW1P 4AU",SW1P 4AU,+44 (0)20 7976 5456,Coeducational,215,Day,Non-denominational
Parkside School,"The Manor, Stoke d'Abernon, Cobham, Surrey, KT11 3PX",KT11 3PX,+44 (0)1932 862749,Boys (some girls),263,Day,All Faiths
Herne Hill School,"The Old Vicarage, 127 Herne Hill, Herne Hill, SE24 9LY",SE24 9LY,+44 (0)20 7274 6336,Coeducational,320,Day,Non-denominational
Connaught House School,"47 Connaught Square, London, W2 2HL",W2 2HL,+44(0)20 7262 8830,Coeducational,71,Day,Non-denominational
Little Downsend Leatherhead,"13 Epsom Road, Leatherhead, Surrey, KT22 8ST",KT22 8ST,01372 385437,Coeducational,108,Day,All Faiths
Eaton Square Senior School,"106 Piccadilly, Mayfair, London, W1J 7NL",W1J 7NL,020 7491 7393,Coeducational,165,Day,Non-denominational
L'Ecole Bilingue,"St Davids Welsh Church, St Marys Terrace, London, W2 1SJ",W2 1SJ,020 7224 8427,,,,
Feltonfleet School,"Byfleet Road, Cobham, Surrey, KT11 1DR",KT11 1DR,+44 (0)1932 862264,Coeducational,497,"Day, Weekly/Flexible Boarding",All Faiths
St John's School,"Epsom Road, Leatherhead, Surrey, KT22 8SP",KT22 8SP,+44 (0)1372 373000,Coeducational,839,"Day, Weekly/Flexible Boarding",Church of England
Maple Walk School,"62a Crownhill Road, London, NW10 4EB",NW10 4EB,020 8963 3890,Coeducational,169,Day,Christian
Maida Vale School,"18 Saltram Crescent, London, W9 3HR",W9 3HR,+44(0)20 4511 6000,Coeducational,159,Day,All Faiths
The Yehudi Menuhin School,"Stoke d'Abernon, Cobham, Surrey, KT11 3QQ",KT11 3QQ,+44 (0)1932 864739,Coeducational,87,"Day, Weekly/Flexible Boarding, Full Boarding",All Faiths
Dulwich College,"Dulwich Common, Dulwich, London, SE21 7LD",SE21 7LD,+44 (0)20 8693 3601,Boys (some girls),1856,"Day, Weekly/Flexible Boarding, Full Boarding",Church of England
Dulwich Prep London,"42 Alleyn Park, Dulwich, SE21 7AA",SE21 7AA,+44 (0)20 8766 5500,Boys (some girls),811,Day,Non-denominational
Westminster Abbey Choir School,"Dean's Yard, London, SW1P 3NY",SW1P 3NY,+44 (0)20 7654 4949,Boys only,27,Full Boarding,Anglican
Westminster School,"17 Dean's Yard, Westminster, SW1P 3PF",SW1P 3PF,+44 (0)20 7963 1000,Boys only (co-ed sixth form),773,"Day, Weekly/Flexible Boarding, Full Boarding",Anglican
Wetherby Preparatory School,"47-48 Bryanston Square, Westminster, W1H 2EA",W1H 2EA,2075353522,Boys only,384,Day,Non-denominational
Sylvia Young Theatre School,"1 Nutford Palce, Marylebone, W1H 5YZ",W1H 5YZ,+44 (0)20 7258 2330,Coeducational,209,Day,Non-denominational
Whitgift School,"Haling Park, South Croydon, CR2 6YT",CR2 6YT,+44 (0)20 8688 9222,Boys only,1561,"Day, Weekly/Flexible Boarding, Full Boarding",Church of England
ICS London,"7B Wyndham Place, Marylebone, London, W1H 1PN",W1H 1PN,020 7298 8800,Coeducational,152,Day,Non-denominational
St George's College Weybridge,"Weybridge Road, Addlestone, Surrey, KT15 2QS",KT15 2QS,+44 (0)1932 839300,Coeducational,1038,Day,Roman Catholic
St David's School,"23/25 Woodcote Valley Road, Purley, Surrey, CR8 3AL",CR8 3AL,+44 (0)20 8660 0723,Coeducational,144,Day,Christian
